day_type,hour,wm_start_time_step,wm_end_time_step,load_profile
3,15,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,16,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,17,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,18,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,19,81,90,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,-1,-1,[]
4,8,-1,-1,[]
4,9,-1,-1,[]
4,10,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,11,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,12,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,13,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,14,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,15,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,16,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,17,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,18,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,19,105,114,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,20,-1,-1,[]
4,21,-1,-1,[]
4,22,-1,-1,[]
4,23,-1,-1,[]
4,24,-1,-1,[]
5,1,-1,-1,[]
5,2,-1,-1,[]
5,3,-1,-1,[]
5,4,-1,-1,[]
5,5,-1,-1,[]
5,6,-1,-1,[]
5,7,-1,-1,[]
5,8,-1,-1,[]
5,9,-1,-1,[]
5,10,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,11,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,12,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,13,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,14,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,15,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,16,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,17,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,18,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,19,129,138,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,20,-1,-1,[]
5,21,-1,-1,[]
5,22,-1,-1,[]
5,23,-1,-1,[]
5,24,-1,-1,[]
6,1,-1,-1,[]
6,2,-1,-1,[]
6,3,-1,-1,[]
6,4,-1,-1,[]
6,5,-1,-1,[]
6,6,-1,-1,[]
6,7,-1,-1,[]
6,8,-1,-1,[]
6,9,-1,-1,[]
6,10,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,11,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,12,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,13,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,14,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,15,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,16,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,17,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,18,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,19,153,162,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,20,-1,-1,[]
6,21,-1,-1,[]
6,22,-1,-1,[]
6,23,-1,-1,[]
6,24,-1,-1,[]
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,11,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,12,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,13,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,14,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,15,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,16,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,17,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,18,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,19,177,186,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,-1,-1,[]
1,8,-1,-1,[]
1,9,-1,-1,[]
1,10,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,11,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,12,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,13,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,14,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,15,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,16,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,17,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,18,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,19,201,210,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,-1,-1,[]
2,8,-1,-1,[]
2,9,-1,-1,[]
2,10,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,11,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,12,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,13,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,14,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,15,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,16,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,17,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,18,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,19,225,234,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,-1,-1,[]
3,8,-1,-1,[]
3,9,-1,-1,[]
3,10,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,11,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,12,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,13,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,14,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,15,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,16,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,17,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,18,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,19,249,258,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,-1,-1,[]
4,8,-1,-1,[]
4,9,-1,-1,[]
4,10,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,11,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,12,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,13,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,14,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,15,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,16,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,17,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,18,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,19,273,282,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,20,-1,-1,[]
4,21,-1,-1,[]
4,22,-1,-1,[]
4,23,-1,-1,[]
4,24,-1,-1,[]
5,1,-1,-1,[]
5,2,-1,-1,[]
5,3,-1,-1,[]
5,4,-1,-1,[]
5,5,-1,-1,[]
5,6,-1,-1,[]
5,7,-1,-1,[]
5,8,-1,-1,[]
5,9,-1,-1,[]
5,10,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,11,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,12,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,13,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,14,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,15,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,16,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,17,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,18,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,19,297,306,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,20,-1,-1,[]
5,21,-1,-1,[]
5,22,-1,-1,[]
5,23,-1,-1,[]
5,24,-1,-1,[]
6,1,-1,-1,[]
6,2,-1,-1,[]
6,3,-1,-1,[]
6,4,-1,-1,[]
6,5,-1,-1,[]
6,6,-1,-1,[]
6,7,-1,-1,[]
6,8,-1,-1,[]
6,9,-1,-1,[]
6,10,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,11,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,12,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,13,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,14,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,15,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,16,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,17,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,18,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,19,321,330,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,20,-1,-1,[]
6,21,-1,-1,[]
6,22,-1,-1,[]
6,23,-1,-1,[]
6,24,-1,-1,[]
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,11,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,12,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,13,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,14,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,15,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,16,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,17,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,18,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,19,345,354,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,-1,-1,[]
1,8,-1,-1,[]
1,9,-1,-1,[]
1,10,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,11,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,12,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,13,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,14,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,15,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,16,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,17,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,18,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,19,369,378,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,-1,-1,[]
2,8,-1,-1,[]
2,9,-1,-1,[]
2,10,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,11,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,12,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,13,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,14,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,15,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,16,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,17,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,18,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,19,393,402,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,-1,-1,[]
3,8,-1,-1,[]
3,9,-1,-1,[]
3,10,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,11,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,12,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,13,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,14,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,15,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,16,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,17,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,18,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,19,417,426,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,-1,-1,[]
4,8,-1,-1,[]
4,9,-1,-1,[]
4,10,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,11,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,12,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,13,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,14,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,15,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,16,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,17,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,18,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,19,441,450,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,20,-1,-1,[]
4,21,-1,-1,[]
4,22,-1,-1,[]
4,23,-1,-1,[]
4,24,-1,-1,[]
5,1,-1,-1,[]
5,2,-1,-1,[]
5,3,-1,-1,[]
5,4,-1,-1,[]
5,5,-1,-1,[]
5,6,-1,-1,[]
5,7,-1,-1,[]
5,8,-1,-1,[]
5,9,-1,-1,[]
5,10,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,11,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,12,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,13,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,14,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,15,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,16,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,17,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,18,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,19,465,474,"[44.000000, 52.800000, 44.000000, 35.200000]"
5,20,-1,-1,[]
5,21,-1,-1,[]
5,22,-1,-1,[]
5,23,-1,-1,[]
5,24,-1,-1,[]
6,1,-1,-1,[]
6,2,-1,-1,[]
6,3,-1,-1,[]
6,4,-1,-1,[]
6,5,-1,-1,[]
6,6,-1,-1,[]
6,7,-1,-1,[]
6,8,-1,-1,[]
6,9,-1,-1,[]
6,10,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,11,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,12,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,13,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,14,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,15,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,16,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,17,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,18,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,19,489,498,"[44.000000, 52.800000, 44.000000, 35.200000]"
6,20,-1,-1,[]
6,21,-1,-1,[]
6,22,-1,-1,[]
6,23,-1,-1,[]
6,24,-1,-1,[]
7,1,-1,-1,[]
7,2,-1,-1,[]
7,3,-1,-1,[]
7,4,-1,-1,[]
7,5,-1,-1,[]
7,6,-1,-1,[]
7,7,-1,-1,[]
7,8,-1,-1,[]
7,9,-1,-1,[]
7,10,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,11,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,12,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,13,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,14,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,15,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,16,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,17,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,18,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,19,513,522,"[44.000000, 52.800000, 44.000000, 35.200000]"
7,20,-1,-1,[]
7,21,-1,-1,[]
7,22,-1,-1,[]
7,23,-1,-1,[]
7,24,-1,-1,[]
1,1,-1,-1,[]
1,2,-1,-1,[]
1,3,-1,-1,[]
1,4,-1,-1,[]
1,5,-1,-1,[]
1,6,-1,-1,[]
1,7,-1,-1,[]
1,8,-1,-1,[]
1,9,-1,-1,[]
1,10,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,11,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,12,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,13,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,14,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,15,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,16,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,17,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,18,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,19,537,546,"[44.000000, 52.800000, 44.000000, 35.200000]"
1,20,-1,-1,[]
1,21,-1,-1,[]
1,22,-1,-1,[]
1,23,-1,-1,[]
1,24,-1,-1,[]
2,1,-1,-1,[]
2,2,-1,-1,[]
2,3,-1,-1,[]
2,4,-1,-1,[]
2,5,-1,-1,[]
2,6,-1,-1,[]
2,7,-1,-1,[]
2,8,-1,-1,[]
2,9,-1,-1,[]
2,10,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,11,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,12,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,13,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,14,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,15,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,16,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,17,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,18,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,19,561,570,"[44.000000, 52.800000, 44.000000, 35.200000]"
2,20,-1,-1,[]
2,21,-1,-1,[]
2,22,-1,-1,[]
2,23,-1,-1,[]
2,24,-1,-1,[]
3,1,-1,-1,[]
3,2,-1,-1,[]
3,3,-1,-1,[]
3,4,-1,-1,[]
3,5,-1,-1,[]
3,6,-1,-1,[]
3,7,-1,-1,[]
3,8,-1,-1,[]
3,9,-1,-1,[]
3,10,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,11,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,12,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,13,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,14,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,15,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,16,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,17,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,18,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,19,585,594,"[44.000000, 52.800000, 44.000000, 35.200000]"
3,20,-1,-1,[]
3,21,-1,-1,[]
3,22,-1,-1,[]
3,23,-1,-1,[]
3,24,-1,-1,[]
4,1,-1,-1,[]
4,2,-1,-1,[]
4,3,-1,-1,[]
4,4,-1,-1,[]
4,5,-1,-1,[]
4,6,-1,-1,[]
4,7,-1,-1,[]
4,8,-1,-1,[]
4,9,-1,-1,[]
4,10,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,11,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,12,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,13,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,14,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,15,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,16,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,17,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,18,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,19,609,618,"[44.000000, 52.800000, 44.000000, 35.200000]"
4,20,-1,-1,[]
4,21,-1,-1,[]
4,22,-1,-1,[]
4,23,-1,-1,[]
4,24,-1,-1,[]
5,1,-1,-1,[]
5,2,-1,-1,[]
5,3,-1,-1,[]
5,4,-1,-1,[]
5,5,-1,-1,[]
5,6,-1,-1,[]
5,7,-1,-1,[]
5,8,-1,-1,[]
